package_name,github_owner,github_repo,commits_90d,commits_365d,commit_velocity_trend,contributors_total,contributors_90d,bus_factor,open_issues,closed_issues_90d,issue_response_time_median,days_since_last_release,release_frequency,release_regularity,weekly_downloads,download_trend,dependent_count,has_readme,has_license,repo_stars,repo_open_prs,days_since_last_commit,label
mdast-util-gfm-autolink-literal,syntax-tree,mdast-util-gfm-autolink-literal,1,1,4.0,3,1,97.59,3,1,0.32,673,274.25,182.13,29406325,0.8987,0,1,1,16,1,19,0
mdast-util-gfm-strikethrough,syntax-tree,mdast-util-gfm-strikethrough,1,1,4.0,3,1,96.72,1,1,0.51,1079,186.5,71.07,29808300,0.8251,0,1,1,5,0,19,0
hast-util-to-html,syntax-tree,hast-util-to-html,0,0,0.0,8,0,95.11,2,0,2.78,489,80.25,44.81,15806267,0.912,0,1,1,118,1,9999,0
mdast-util-gfm-task-list-item,syntax-tree,mdast-util-gfm-task-list-item,0,0,0.0,2,0,98.39,2,0,0.09,1079,235.25,76.2,29788393,0.8248,0,1,1,6,1,9999,0
react-merge-refs,gregberge,react-merge-refs,0,0,0.0,9,0,80.0,1,0,14.78,411,146.25,248.14,2275709,0.8405,0,1,1,670,0,9999,0
hast-util-is-element,syntax-tree,hast-util-is-element,0,0,0.0,3,0,98.1,0,0,1210.88,1058,202.5,122.73,12999499,0.8759,0,1,1,12,0,9999,0
unist-util-find-all-after,syntax-tree,unist-util-find-all-after,0,0,0.0,4,0,95.19,0,0,0.19,1082,308.75,197.26,1146799,0.8951,0,1,1,7,0,9999,0
hast-util-to-string,rehypejs,rehype-minify,0,0,0.0,6,0,97.62,1,0,393.2,634,412.0,232.63,5318854,0.9241,0,1,1,101,0,9999,0
hast-util-sanitize,syntax-tree,hast-util-sanitize,0,0,0.0,6,0,95.57,2,0,519.86,606,317.75,196.86,7563514,0.8502,0,1,1,58,0,9999,0
estree-util-visit,syntax-tree,estree-util-visit,0,0,0.0,2,0,97.44,0,0,0.0,1070,220.0,137.47,9219324,0.82,0,1,1,6,0,9999,0
eth-rpc-errors,MetaMask,eth-rpc-errors,0,0,0.0,5,0,85.45,2,0,0.0,1930,55.75,49.37,1015086,0.8347,0,1,1,0,2,9999,0
oas-kit-common,Mermade,oas-kit,0,0,0.0,17,0,90.97,45,0,0.0,2277,124.5,179.96,4279637,0.9059,0,1,1,747,22,9999,0
chromatism,toish,chromatism,0,0,0.0,6,0,51.16,12,0,0.0,3204,29.75,43.59,25177,0.9212,0,1,0,1763,4,9999,0
gh-got,sindresorhus,gh-got,2,4,2.0,15,1,72.15,0,0,1810.65,82,661.5,394.03,729702,0.8112,0,1,1,177,0,82,1
mdast-util-mdx-jsx,syntax-tree,mdast-util-mdx-jsx,0,2,0.0,5,0,96.75,0,0,22.11,526,84.0,69.49,29303493,0.8713,0,1,1,32,0,9999,0
mdast-util-compact,syntax-tree,mdast-util-compact,0,0,0.0,3,0,96.88,0,0,254.67,1082,251.5,172.99,771470,0.82,0,1,1,7,0,9999,0
mdast-util-mdx,syntax-tree,mdast-util-mdx,0,0,0.0,1,0,100.0,1,0,39.03,1077,187.0,119.07,8836339,0.8706,0,1,1,25,0,9999,0
unist-util-position-from-estree,syntax-tree,unist-util-position-from-estree,0,0,0.0,2,0,97.5,0,0,0.0,1082,217.0,182.29,9168142,0.8724,0,1,1,0,0,9999,0
mdast-util-mdxjs-esm,syntax-tree,mdast-util-mdxjs-esm,0,0,0.0,2,0,97.3,0,0,0.0,1050,97.75,79.05,28551393,0.873,0,1,1,7,0,9999,0
@xsahxl/got,sindresorhus,got,22,123,0.7154,30,2,39.23,0,1,3.51,1582,9999,9999,1,3.6952,0,1,1,14914,0,1,1
mdast-util-mdx-expression,syntax-tree,mdast-util-mdx-expression,0,1,0.0,2,0,98.82,0,0,34.47,648,195.0,139.08,28663179,0.8751,0,1,1,5,0,9999,0
mdast-util-frontmatter,syntax-tree,mdast-util-frontmatter,0,0,0.0,1,0,100.0,0,0,7.89,1013,272.0,194.73,5561117,0.8646,0,1,1,19,0,9999,0
mdast-util-gfm-footnote,syntax-tree,mdast-util-gfm-footnote,1,1,4.0,2,1,97.83,0,1,0.0,498,306.25,183.09,27601488,0.8975,0,1,1,5,0,19,0
cint,raineorshine,cint,0,0,0.0,3,0,96.54,1,0,0.0,1971,543.5,804.51,54301,0.814,0,1,0,12,0,9999,0
nanopop,Simonwep,nanopop,0,0,0.0,7,0,88.64,3,0,17.26,879,127.0,124.49,339745,0.8669,0,1,1,719,0,9999,0
commander,tj,commander.js,7,76,0.3684,30,2,43.33,10,1,0.0,25,64.5,33.42,450120637,0.8844,0,1,1,28283,6,25,1
argparse,nodeca,argparse,0,0,0.0,18,0,58.95,9,1,7973.16,2124,357.0,378.59,235211579,0.8997,0,1,1,508,2,9999,0
ora,sindresorhus,ora,7,24,1.1667,30,3,76.47,0,1,7.28,1,37.75,31.59,79478861,0.8634,0,1,1,9714,0,0,1
uglify-js,mishoo,UglifyJS,0,0,0.0,30,0,73.07,45,0,0.0,663,19.75,10.43,44772867,0.9035,0,1,1,13390,14,9999,0
picocolors,alexeyraspopov,picocolors,0,0,0.0,12,0,64.04,14,1,0.0,614,276.25,386.73,200753052,0.8934,0,1,1,1726,6,9999,0
ansi-styles,chalk,ansi-styles,0,3,0.0,19,0,63.64,0,0,6.5,288,273.25,454.98,683714490,0.8736,0,1,1,461,0,9999,0
supports-color,chalk,supports-color,0,6,0.0,30,0,69.73,3,1,543.31,288,65.75,94.0,463344275,0.8988,0,1,1,370,0,9999,0
yargs,yargs,yargs,3,7,1.7143,30,1,46.44,312,1,0.0,4,96.5,163.68,221936797,0.866,0,1,1,11496,28,4,1
kleur,lukeed,kleur,0,0,0.0,16,0,86.4,13,1,5876.98,1457,168.5,206.3,81008870,0.8717,0,1,1,1697,5,9999,0
ansi-colors,doowb,ansi-colors,0,0,0.0,11,0,50.82,19,0,0.0,1499,265.25,451.37,53760739,0.8845,0,1,1,454,6,9999,0
string-width,sindresorhus,string-width,2,13,0.6154,14,1,73.08,1,1,85.45,57,61.5,54.91,525524193,0.8622,0,1,1,528,0,57,1
webpack-cli,webpack,webpack-cli,50,220,0.9091,30,4,29.96,9,1,0.0,26,130.5,185.49,12074738,0.9043,0,1,1,2604,5,1,1
@commitlint/cli,conventional-changelog,commitlint,158,319,1.9812,30,7,57.77,85,1,0.0,0,13.25,8.04,8715253,0.8867,0,1,1,18620,5,0,1
log-symbols,sindresorhus,log-symbols,0,0,0.0,13,0,63.83,1,0,0.0,398,373.25,182.85,90140203,0.8864,0,1,1,769,0,9999,0
has-flag,sindresorhus,has-flag,0,0,0.0,7,0,72.73,0,0,0.58,1799,480.75,244.89,298667418,0.8384,0,1,1,96,0,9999,0
wrap-ansi,chalk,wrap-ansi,0,8,0.0,10,0,69.33,2,0,0.38,123,280.5,250.93,444070878,0.8752,0,1,1,138,1,9999,0
figures,sindresorhus,figures,0,0,0.0,11,0,49.22,0,0,97.23,840,177.25,164.22,69181832,0.9001,0,1,1,629,0,9999,0
boxen,sindresorhus,boxen,0,1,0.0,23,0,61.42,8,0,0.0,687,129.75,142.5,26491465,0.8972,0,1,1,1667,3,9999,0
npm-run-path,sindresorhus,npm-run-path,0,0,0.0,7,0,60.47,0,0,0.0,666,263.5,244.31,128779209,0.8147,0,1,1,109,0,9999,0
log-update,sindresorhus,log-update,3,16,0.75,14,1,77.78,0,1,19.2,79,48.0,20.63,43326669,0.8989,0,1,1,1157,0,79,1
html-minifier-terser,terser,html-minifier-terser,2,21,0.381,30,1,34.18,38,1,0.0,1169,99.0,26.39,19131296,0.9035,0,1,1,471,9,86,1
cliui,yargs,cliui,0,2,0.0,14,0,32.5,25,0,0.0,463,396.75,403.44,208907205,0.9089,0,1,1,395,12,9999,0
slice-ansi,chalk,slice-ansi,3,8,1.5,11,1,72.13,0,1,15.26,80,221.5,269.96,111579395,0.8742,0,1,1,51,0,80,1
cli-cursor,sindresorhus,cli-cursor,0,0,0.0,5,0,86.21,0,1,0.0,697,688.25,375.79,106930323,0.8895,0,1,1,114,0,9999,0
yn,sindresorhus,yn,0,3,0.0,10,0,65.85,0,0,2.1,305,582.0,551.22,42500618,0.8884,0,1,1,275,0,9999,0
listr2,cenk1cenk2,listr2,71,352,0.8068,30,1,73.79,11,1,157.58,112,8.5,10.92,42926238,0.9303,0,1,1,671,5,21,1
ansi-align,nexdrew,ansi-align,0,0,0.0,3,0,42.22,15,0,0.0,1730,493.5,359.33,22219209,0.8582,0,1,1,24,13,9999,0
supports-hyperlinks,jamestalmage,supports-hyperlinks,0,0,0.0,9,0,54.55,6,0,0.0,4,70.5,70.77,34052476,0.9017,0,1,1,55,0,9999,0
inquirer,SBoudrias,Inquirer.js,124,380,1.3053,30,4,72.79,15,1,0.0,22,10.25,8.1,47272538,0.9513,0,1,1,21586,6,3,1
prompts,terkelg,prompts,0,0,0.0,30,0,61.95,152,1,0.0,1719,149.75,71.88,51522812,0.9223,0,1,1,9291,37,9999,0
import-local,sindresorhus,import-local,0,0,0.0,8,0,73.33,2,0,0.98,701,460.0,408.37,48059063,0.8543,0,1,1,154,0,9999,0
cli-truncate,sindresorhus,cli-truncate,4,13,1.2308,9,2,80.49,0,1,20.29,0,70.0,38.62,50207374,0.9045,0,1,1,93,0,0,1
fast-xml-parser,NaturalIntelligence,fast-xml-parser,72,132,2.1818,30,4,90.14,20,1,0.0,4,9.5,14.17,90339845,0.8822,0,1,1,3100,10,4,1
ansi-regex,chalk,ansi-regex,0,7,0.0,13,0,66.67,0,1,11.72,288,315.0,362.32,555755572,0.8629,0,1,1,201,0,9999,0
yargs-parser,yargs,yargs-parser,0,4,0.0,30,0,18.18,63,1,274.82,392,321.5,410.01,224059470,0.8776,0,1,1,517,16,9999,0
mri,lukeed,mri,0,0,0.0,4,0,96.3,9,1,0.0,1744,248.75,195.96,18956475,0.8638,0,1,1,674,2,9999,0
enquirer,enquirer,enquirer,0,0,0.0,30,0,61.75,208,0,0.0,1061,322.25,461.27,30437133,0.9262,0,1,1,7944,38,9999,0
@nrwl/react,nrwl,nx,682,2738,0.9963,30,15,14.78,505,1,0.0,398,44.5,71.35,251601,0.859,0,1,1,29002,151,0,1
nodemon,remy,nodemon,14,52,1.0769,30,2,91.13,12,1,0.0,122,75.75,83.45,13102169,0.9002,0,1,1,26684,9,4,1
cli-boxes,sindresorhus,cli-boxes,0,0,0.0,9,0,65.22,1,0,5.84,687,480.25,442.0,27709580,0.8577,0,1,1,110,0,9999,0
sade,lukeed,sade,0,0,0.0,6,0,95.58,15,0,0.0,1628,172.75,187.78,8309249,0.9417,0,1,1,1078,3,9999,0
prisma,prisma,prisma,31,635,0.1953,30,14,22.25,2621,1,0.0,15,1.0,1.73,13842285,0.8798,0,1,1,46368,175,15,1
dargs,sindresorhus,dargs,0,0,0.0,14,0,74.63,0,0,20.39,1819,282.25,252.63,10299821,0.8489,0,1,1,187,0,9999,0
pm2,Unitech,pm2,41,97,1.6907,30,1,70.95,1084,1,1.57,52,55.0,63.9,3385226,0.8852,0,1,1,43219,73,52,1
cli-table3,cli-table,cli-table3,1,1,4.0,22,1,33.5,26,1,0.0,771,213.0,200.38,30534789,0.9209,0,1,1,626,13,64,0
ava,avajs,ava,15,29,2.069,30,4,51.12,61,1,0.0,36,85.75,84.38,658654,0.8362,0,1,1,20846,7,36,1
widest-line,sindresorhus,widest-line,0,2,0.0,5,0,76.92,0,0,0.12,150,622.0,260.78,32572389,0.8161,0,1,1,40,0,9999,0
@wdio/cli,webdriverio,webdriverio,76,361,0.8421,30,26,51.56,319,1,0.0,4,21.5,11.28,1308630,0.9279,0,1,1,9797,79,1,1
promptly,moxystudio,node-promptly,0,0,0.0,11,0,84.75,0,0,223.19,2055,256.25,426.09,1540562,0.8524,0,1,1,153,0,9999,0
yeoman-generator,yeoman,generator,38,134,1.1343,30,3,29.84,5,1,0.0,55,12.0,19.65,1379170,0.975,0,1,1,1263,2,17,1
@svgr/cli,gregberge,svgr,0,2,0.0,30,0,88.5,144,1,0.0,1043,72.25,55.14,856993,0.8987,0,1,1,11043,23,9999,0
@vue/babel-preset-app,vuejs,vue-cli,0,2,0.0,30,0,48.3,1071,1,29.17,306,290.25,491.19,594484,0.9261,0,1,1,29573,134,9999,0
command-line-args,75lb,command-line-args,0,2,0.0,10,0,96.74,7,0,750.14,92,424.0,306.39,6989764,0.903,0,1,1,719,0,9999,0
